"OTU","Mucin.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Mucin.RF.Rank","Enrichment.Mucin","ASV.Family"
"ASV347",0.0074031746031746,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",157,"Stress Alone","ASV347  ( Eggerthellaceae )"
"ASV267",0.00723333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,158,"Stress Alone","ASV267  ( Lachnospiraceae )"
"ASV90",0.00718484848484848,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",159,"Stress + Mucin","ASV90  ( Lachnospiraceae )"
"ASV363",0.00694615384615385,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",160,"Stress + Mucin","ASV363  ( Oscillospiraceae )"
"ASV64",0.00691111111111111,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",161,"Stress + Mucin","ASV64  ( Lachnospiraceae )"
"ASV16",0.00671428571428571,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",162,"Stress Alone","ASV16  ( Akkermansiaceae )"
"ASV70",0.0066,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",163,"Stress Alone","ASV70  ( Lachnospiraceae )"
"ASV255",0.00658333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,164,"Stress Alone","ASV255  ( Lachnospiraceae )"
"ASV325",0.00655,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",165,"Stress + Mucin","ASV325  ( Ruminococcaceae )"
"ASV75",0.00641666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",166,"Stress + Mucin","ASV75  ( Lachnospiraceae )"
"ASV299",0.00606984126984127,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,167,"Stress Alone","ASV299  ( Lachnospiraceae )"
"ASV12",0.00602222222222222,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,168,"Stress + Mucin","ASV12  ( Muribaculaceae )"
"ASV36",0.00601666666666667,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,169,"Stress Alone","ASV36  ( NA )"
"ASV192",0.00593333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",170,"Stress Alone","ASV192  ( Lachnospiraceae )"
"ASV424",0.00577342657342657,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",171,"Stress + Mucin","ASV424  ( Oscillospiraceae )"
"ASV230",0.00571666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,172.5,"Stress + Mucin","ASV230  ( Lachnospiraceae )"
"ASV373",0.00571666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,172.5,"Stress Alone","ASV373  ( Lachnospiraceae )"
"ASV691",0.00543333333333334,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Paludicola",174,"Stress + Mucin","ASV691  ( Ruminococcaceae )"
"ASV366",0.00535064935064935,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",175,"Stress Alone","ASV366  ( Oscillospiraceae )"
"ASV80",0.00521666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",176,"Stress Alone","ASV80  ( Lachnospiraceae )"
"ASV181",0.00521428571428571,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",177,"Stress Alone","ASV181  ( Oscillospiraceae )"
"ASV453",0.00515151515151515,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,178,"Stress + Mucin","ASV453  ( NA )"
"ASV1597",0.00513246753246753,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,179,"Stress Alone","ASV1597  ( Lachnospiraceae )"
"ASV94",0.00513095238095238,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",180,"Stress Alone","ASV94  ( Bifidobacteriaceae )"
"ASV220",0.00509206349206349,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",181,"Stress + Mucin","ASV220  ( Lachnospiraceae )"
"ASV40",0.00501428571428572,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",182,"Stress + Mucin","ASV40  ( Ruminococcaceae )"
"ASV185",0.005,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",183.5,"Stress + Mucin","ASV185  ( Lachnospiraceae )"
"ASV59",0.005,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,183.5,"Stress Alone","ASV59  ( [Eubacterium] coprostanoligenes group )"
"ASV232",0.00493939393939394,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group",185,"Stress + Mucin","ASV232  ( Anaerovoracaceae )"
"ASV45",0.00492929292929293,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",186,"Stress Alone","ASV45  ( Lachnospiraceae )"
"ASV14",0.00486666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",187,"Stress Alone","ASV14  ( Lachnospiraceae )"
"ASV111",0.00485,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",188,"Stress + Mucin","ASV111  ( Lachnospiraceae )"
"ASV1",0.00484848484848485,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",190,"Stress + Mucin","ASV1  ( Lactobacillaceae )"
"ASV162",0.00484848484848485,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",190,"Stress + Mucin","ASV162  ( Lachnospiraceae )"
"ASV251",0.00484848484848485,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast",NA,NA,190,"Stress Alone","ASV251  ( NA )"
"ASV306",0.0048,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",192,"Stress + Mucin","ASV306  ( Ruminococcaceae )"
"ASV420",0.00470384615384615,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",193,"Stress Alone","ASV420  ( Oscillospiraceae )"
"ASV580",0.00466666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",194,"Stress Alone","ASV580  ( Lachnospiraceae )"
"ASV501",0.0046,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",195,"Stress Alone","ASV501  ( Oscillospiraceae )"
"ASV54",0.00444444444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",196,"Stress + Mucin","ASV54  ( Lachnospiraceae )"
"ASV74",0.00435555555555556,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,197,"Stress Alone","ASV74  ( Oscillospiraceae )"
"ASV547",0.00426666666666667,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,198.5,"Stress + Mucin","ASV547  ( Muribaculaceae )"
"ASV548",0.00426666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",198.5,"Stress + Mucin","ASV548  ( Lachnospiraceae )"
"ASV106",0.0042,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",201.5,"Stress Alone","ASV106  ( Ruminococcaceae )"
"ASV189",0.0042,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",201.5,"Stress Alone","ASV189  ( Butyricicoccaceae )"
"ASV380",0.0042,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,201.5,"Stress Alone","ASV380  ( NA )"
"ASV462",0.0042,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,201.5,"Stress Alone","ASV462  ( Lachnospiraceae )"
"ASV302",0.00411666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",204,"Stress Alone","ASV302  ( Lachnospiraceae )"
"ASV356",0.00375555555555556,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,205,"Stress + Mucin","ASV356  ( NA )"
"ASV68",0.00375,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,206,"Stress Alone","ASV68  ( Lachnospiraceae )"
"ASV506",0.00363333333333333,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,207,"Stress Alone","ASV506  ( NA )"
"ASV148",0.0035959595959596,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae",NA,208,"Stress Alone","ASV148  ( Peptococcaceae )"
"ASV537",0.00357777777777778,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",209,"Stress + Mucin","ASV537  ( Anaerovoracaceae )"
"ASV132",0.00356818181818182,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",210.5,"Stress Alone","ASV132  ( Lachnospiraceae )"
"ASV838",0.00356818181818182,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,210.5,"Stress + Mucin","ASV838  ( Lachnospiraceae )"
"ASV193",0.00352777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",212.5,"Stress Alone","ASV193  ( Lachnospiraceae )"
"ASV933",0.00352777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",212.5,"Stress + Mucin","ASV933  ( Lachnospiraceae )"
"ASV1731",0.00351428571428572,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,214.5,"Stress Alone","ASV1731  ( [Eubacterium] coprostanoligenes group )"
"ASV284",0.00351428571428572,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,214.5,"Stress + Mucin","ASV284  ( Lachnospiraceae )"
"ASV180",0.0035,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,216.5,"Stress + Mucin","ASV180  ( Ruminococcaceae )"
"ASV300",0.0035,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,216.5,"Stress + Mucin","ASV300  ( Muribaculaceae )"
"ASV629",0.00349206349206349,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,218.5,"Stress Alone","ASV629  ( Lachnospiraceae )"
"ASV84",0.00349206349206349,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",218.5,"Stress + Mucin","ASV84  ( Lachnospiraceae )"
"ASV1053",0.00346666666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010",NA,220,"Stress + Mucin","ASV1053  ( UCG-010 )"
"ASV1466",0.00346428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,222,"Stress Alone","ASV1466  ( Lachnospiraceae )"
"ASV807",0.00346428571428571,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",222,"Stress Alone","ASV807  ( Eggerthellaceae )"
"ASV98",0.00346428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",222,"Stress Alone","ASV98  ( Lachnospiraceae )"
"ASV486",0.00342857142857143,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,224.5,"Stress + Mucin","ASV486  ( NA )"
"ASV69",0.00342857142857143,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,224.5,"Stress Alone","ASV69  ( Muribaculaceae )"
"ASV153",0.00341666666666667,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",226,"Stress Alone","ASV153  ( Lactobacillaceae )"
"ASV310",0.00338095238095238,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,227,"Stress + Mucin","ASV310  ( Lachnospiraceae )"
"ASV229",0.00327272727272727,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,228,"Stress Alone","ASV229  ( Lachnospiraceae )"
"ASV1078",0.00311111111111111,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",231,"Stress Alone","ASV1078  ( Eggerthellaceae )"
"ASV464",0.00311111111111111,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus",231,"Stress Alone","ASV464  ( Eggerthellaceae )"
"ASV510",0.00311111111111111,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Parvibacter",231,"Stress Alone","ASV510  ( Eggerthellaceae )"
"ASV53",0.00311111111111111,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",231,"Stress + Mucin","ASV53  ( Desulfovibrionaceae )"
"ASV776",0.00311111111111111,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,231,"Stress + Mucin","ASV776  ( Muribaculaceae )"
"ASV60",0.003,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,234,"Stress + Mucin","ASV60  ( Lachnospiraceae )"
"ASV289",0.00186666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",235,"Stress Alone","ASV289  ( Lachnospiraceae )"
"ASV308",0.00183333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",236.5,"Stress + Mucin","ASV308  ( Lachnospiraceae )"
"ASV509",0.00183333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",236.5,"Stress + Mucin","ASV509  ( Oscillospiraceae )"
"ASV1160",0.00181818181818182,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,240,"Stress Alone","ASV1160  ( Muribaculaceae )"
"ASV2",0.00181818181818182,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",240,"Stress + Mucin","ASV2  ( Enterococcaceae )"
"ASV434",0.00181818181818182,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,240,"Stress Alone","ASV434  ( Erysipelotrichaceae )"
"ASV502",0.00181818181818182,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,240,"Stress + Mucin","ASV502  ( Muribaculaceae )"
"ASV512",0.00181818181818182,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Harryflintia",240,"Stress Alone","ASV512  ( Ruminococcaceae )"
"ASV1123",0.0018,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,247,"Stress + Mucin","ASV1123  ( Oscillospiraceae )"
"ASV1599",0.0018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",247,"Stress Alone","ASV1599  ( Lachnospiraceae )"
"ASV206",0.0018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",247,"Stress + Mucin","ASV206  ( Lachnospiraceae )"
"ASV241",0.0018,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",247,"Stress + Mucin","ASV241  ( Oscillospiraceae )"
"ASV395",0.0018,"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",247,"Stress + Mucin","ASV395  ( Monoglobaceae )"
"ASV438",0.0018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",247,"Stress Alone","ASV438  ( Lachnospiraceae )"
"ASV459",0.0018,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,247,"Stress + Mucin","ASV459  ( NA )"
"ASV546",0.0018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",247,"Stress Alone","ASV546  ( Lachnospiraceae )"
"ASV680",0.0018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,247,"Stress + Mucin","ASV680  ( Lachnospiraceae )"
"ASV102",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",254.5,"Stress + Mucin","ASV102  ( Lachnospiraceae )"
"ASV133",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",254.5,"Stress Alone","ASV133  ( Lachnospiraceae )"
"ASV208",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,254.5,"Stress Alone","ASV208  ( [Eubacterium] coprostanoligenes group )"
"ASV215",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus",254.5,"Stress Alone","ASV215  ( Ruminococcaceae )"
"ASV342",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-006",254.5,"Stress Alone","ASV342  ( Lachnospiraceae )"
"ASV361",0.00177777777777778,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,254.5,"Stress Alone","ASV361  ( Ruminococcaceae )"
"ASV1097",0.00175,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,265.5,"Stress + Mucin","ASV1097  ( NA )"
"ASV1737",0.00175,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,265.5,"Stress + Mucin","ASV1737  ( Lachnospiraceae )"
"ASV21",0.00175,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",265.5,"Stress + Mucin","ASV21  ( Oscillospiraceae )"
"ASV243",0.00175,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,265.5,"Stress + Mucin","ASV243  ( Muribaculaceae )"
"ASV280",0.00175,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",265.5,"Stress Alone","ASV280  ( Lachnospiraceae )"
"ASV294",0.00175,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,265.5,"Stress Alone","ASV294  ( Muribaculaceae )"
"ASV328",0.00175,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,265.5,"Stress + Mucin","ASV328  ( NA )"
"ASV376",0.00175,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,265.5,"Stress + Mucin","ASV376  ( Lachnospiraceae )"
"ASV377",0.00175,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,265.5,"Stress Alone","ASV377  ( Lachnospiraceae )"
"ASV4",0.00175,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,265.5,"Stress + Mucin","ASV4  ( Muribaculaceae )"
"ASV405",0.00175,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,265.5,"Stress Alone","ASV405  ( NA )"
"ASV465",0.00175,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,265.5,"Stress + Mucin","ASV465  ( Oscillospiraceae )"
"ASV573",0.00175,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",265.5,"Stress + Mucin","ASV573  ( Lachnospiraceae )"
"ASV575",0.00175,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,265.5,"Stress + Mucin","ASV575  ( Ruminococcaceae )"
"ASV579",0.00175,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,265.5,"Stress Alone","ASV579  ( NA )"
"ASV859",0.00175,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae",NA,265.5,"Stress + Mucin","ASV859  ( Eggerthellaceae )"
"ASV1378",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,279,"Stress Alone","ASV1378  ( Lachnospiraceae )"
"ASV1595",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,279,"Stress Alone","ASV1595  ( [Eubacterium] coprostanoligenes group )"
"ASV166",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,279,"Stress Alone","ASV166  ( NA )"
"ASV170",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group",NA,279,"Stress Alone","ASV170  ( [Eubacterium] coprostanoligenes group )"
"ASV1732",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",279,"Stress Alone","ASV1732  ( Lachnospiraceae )"
"ASV190",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",279,"Stress Alone","ASV190  ( Lachnospiraceae )"
"ASV213",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,279,"Stress Alone","ASV213  ( Lachnospiraceae )"
"ASV401",0.00171428571428571,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae",NA,279,"Stress + Mucin","ASV401  ( Muribaculaceae )"
"ASV544",0.00171428571428571,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,279,"Stress Alone","ASV544  ( NA )"
"ASV8",0.00171428571428571,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",279,"Stress Alone","ASV8  ( Helicobacteraceae )"
"ASV95",0.00171428571428571,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,279,"Stress Alone","ASV95  ( NA )"
"ASV134",0.00166666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",288,"Stress + Mucin","ASV134  ( Lachnospiraceae )"
"ASV1718",0.00166666666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",288,"Stress + Mucin","ASV1718  ( Oscillospiraceae )"
"ASV413",0.00166666666666667,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae",NA,288,"Stress + Mucin","ASV413  ( Erysipelatoclostridiaceae )"
"ASV472",0.00166666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",288,"Stress Alone","ASV472  ( Lachnospiraceae )"
"ASV482",0.00166666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",288,"Stress Alone","ASV482  ( Lachnospiraceae )"
"ASV5",0.00166666666666667,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",288,"Stress + Mucin","ASV5  ( Erysipelotrichaceae )"
"ASV542",0.00166666666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,288,"Stress Alone","ASV542  ( Ruminococcaceae )"
"ASV1251",0.0016,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",293,"Stress Alone","ASV1251  ( Lachnospiraceae )"
"ASV332",0.0016,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,293,"Stress Alone","ASV332  ( Lachnospiraceae )"
"ASV534",0.0016,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,293,"Stress Alone","ASV534  ( Lachnospiraceae )"
"ASV167",0.00133333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",295,"Stress + Mucin","ASV167  ( Lachnospiraceae )"
"ASV352",0.00075,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",296,"Stress Alone","ASV352  ( Ruminococcaceae )"
"ASV1016",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,397.5,"Stress Alone","ASV1016  ( Lachnospiraceae )"
"ASV1033",0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",397.5,"Stress + Mucin","ASV1033  ( Erysipelotrichaceae )"
"ASV1096",0,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",397.5,"Stress + Mucin","ASV1096  ( Ruminococcaceae )"
"ASV1101",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",397.5,"Stress Alone","ASV1101  ( Lachnospiraceae )"
"ASV1122",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",397.5,"Stress + Mucin","ASV1122  ( Lachnospiraceae )"
"ASV1126",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,397.5,"Stress Alone","ASV1126  ( Lachnospiraceae )"
"ASV114",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",397.5,"Stress Alone","ASV114  ( Lachnospiraceae )"
"ASV115",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,397.5,"Stress Alone","ASV115  ( Lachnospiraceae )"
"ASV118",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,397.5,"Stress Alone","ASV118  ( Lachnospiraceae )"
"ASV1192",0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",397.5,"Stress + Mucin","ASV1192  ( Rikenellaceae )"
"ASV1193",0,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,397.5,"Stress + Mucin","ASV1193  ( NA )"
"ASV1194",0,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",397.5,"Stress + Mucin","ASV1194  ( Rikenellaceae )"
"ASV120",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",397.5,"Stress Alone","ASV120  ( Lachnospiraceae )"
"ASV1201",0,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,397.5,"Stress Alone","ASV1201  ( Lachnospiraceae )"
"ASV1202",0,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",397.5,"Stress Alone","ASV1202  ( Oscillospiraceae )"
"ASV1243",0,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae UCG-002",397.5,"Stress + Mucin","ASV1243  ( Atopobiaceae )"
